23S-Mycoplasma amphoriforme Resistant (A2063G)	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma amphoriforme;d:Resistant (A2063G)
23S-Mycoplasma amphoriforme Resistant (A2064G)	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma amphoriforme;d:Resistant (A2064G)
23S-Mycoplasma amphoriforme Sensitive	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma amphoriforme;d:Sensitive
23S-Ureaplasma parvum Resistant (A2063G)	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:Ureaplasma parvum;d:Resistant (A2063G)
23S-Ureaplasma parvum Resistant (A2064G)	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:Ureaplasma parvum;d:Resistant (A2064G)
23S-Ureaplasma parvum Sensitive	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:Ureaplasma parvum;d:Sensitive
23S-Ureaplasma urealyticum Resistant (A2063G)	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:Ureaplasma urealyticum;d:Resistant (A2063G)
23S-Ureaplasma urealyticum Resistant (A2064G)	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:Ureaplasma urealyticum;d:Resistant (A2064G)
23S-Ureaplasma urealyticum Sensitive	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Ureaplasma;s:Ureaplasma urealyticum;d:Sensitive
Acinetobacter baumannii	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Acinetobacter;s:Acinetobacter baumannii
Bordetella avium	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella avium
Bordetella bronchialis	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella bronchialis
Bordetella bronchiseptica	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella bronchiseptica
Bordetella flabilis	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella flabilis
Bordetella genomosp. 13	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella genomosp. 13
Bordetella genomosp. 6	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella genomosp. 6
Bordetella genomosp. 8	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella genomosp. 8
Bordetella genomosp. 9	sk:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetella genomosp. 9
