markers	mID	mName
genericmarkers	1	Pan.leg
genericmarkers	2	Legionella.pneum
genericmarkers	3	Legionella.pneum.sg1
genericmarkers	4	Streptococcus.pyogenes.GAS
genericmarkers	5	Mycoplasma.pneumoniae
genericmarkers	8	Mycoplasma.pneumoniae.macrolide.resistant
genericmarkers	9	Mycoplasma.pneumoniae.macrolide.wt
genericmarkers	10	Mycoplasma.pneumoniae.macrolide.res1
genericmarkers	11	Mycoplasma.pneumoniae.macrolide.res2
genericmarkers	12	Mycoplasma.pneumoniae.macrolide.res3
genericmarkers	13	Mycoplasma.pneumoniae.macrolide.res4
genericmarkers	14	Mycoplasma.pneumoniae.macrolide.res5
genericmarkers	15	Mycoplasma.pneumoniae.macrolide.res6
genericmarkers	16	Chlamydophila.pneumoniae
genericmarkers	17	Streptococcus.pneumoniae
genericmarkers	18	Pan.H.influenzae
genericmarkers	19	MERS.N
genericmarkers	20	MERS.US.upE
genericmarkers	21	FluB
genericmarkers	22	FluA
genericmarkers	23	FluA.Ostalmivir.R.H1N1
genericmarkers	24	FluA.Ostalmivir.R.H5N1
genericmarkers	25	Acinetobacter.baumannii
genericmarkers	26	Moraxella.catarrhalis
genericmarkers	27	FluC
genericmarkers	28	Human.RNAseP
genericmarkers	29	Pseudomonas.aerugenosa
genericmarkers	30	Respiratory.syncytial.virus
genericmarkers	31	Human.parainfluenza.virus.type.1
genericmarkers	32	Human.parainfluenza.virus.type.2
genericmarkers	33	Human.parainfluenza.virus.type.3
genericmarkers	34	Human.parainfluenza.virus.type.4
genericmarkers	35	Bordetella.bronchiseptica
genericmarkers	36	Bordetella.pertussis
genericmarkers	37	Bordetella.holmesii
genericmarkers	38	Bordetella.parapertussis
genericmarkers	39	Enterovirus.Toluca
genericmarkers	40	Enterovirus.CIV03.10361
genericmarkers	41	Enterovirus.A.B.69
genericmarkers	42	Enterovirus.A.B.A71
genericmarkers	43	Enterovirus.C
genericmarkers	44	Enterovirus.D.EV.D68
genericmarkers	45	Enterovirus.D.Sabin
genericmarkers	46	Human.metapneumovirus
genericmarkers	47	Adenovirus
genericmarkers	48	Coronavirus.OC43
genericmarkers	49	Coronavirus.HKU1
genericmarkers	50	Coronavirus.229E
ptyping	1	Type 1
ptyping	2	Type 2
